,y_,z_,x_,timestamp
0,18.0904862285,21.5980110405,19.761251903,2014-04-01 00:00:00
1,20.3598425859,19.3213920476,20.500833287,2014-04-01 00:05:00
2,21.1054698472,21.399938142,19.9616414445,2014-04-01 00:10:00
3,21.1515852522,18.3739156837,21.4902660734,2014-04-01 00:15:00
4,18.1371405424,18.1674987959,20.1877394098,2014-04-01 00:20:00
5,21.6256605306,20.0161807325,19.9231256718,2014-04-01 00:25:00
6,21.6738066877,18.2386488933,21.6984039617,2014-04-01 00:30:00
7,20.2455614926,19.5699592049,20.8787583842,2014-04-01 00:35:00
8,19.9283327955,21.5871124675,18.4461996294,2014-04-01 00:40:00
9,18.1794698523,18.9659321448,18.7108178448,2014-04-01 00:45:00
10,20.24781657,20.8239031005,21.1484914518,2014-04-01 00:50:00
11,19.6375163271,19.2094615696,21.3434052847,2014-04-01 00:55:00
12,21.0912256296,18.179680221,20.1807633164,2014-04-01 01:00:00
13,19.6155342675,20.2267623256,20.2178209115,2014-04-01 01:05:00
14,20.7343233333,21.3394139621,20.5277318514,2014-04-01 01:10:00
15,18.405632585,19.6378737934,19.7564630971,2014-04-01 01:15:00
16,18.5318090831,20.4691753058,20.7207964939,2014-04-01 01:20:00
17,18.5588407626,21.6000943906,18.4339250303,2014-04-01 01:25:00
18,18.1821019992,21.1587780509,21.8451169695,2014-04-01 01:30:00
19,20.1653154371,18.7755055976,21.0006192952,2014-04-01 01:35:00
20,21.1758709042,20.9335358375,20.524696816,2014-04-01 01:40:00
21,20.4416448148,20.0075721006,19.265288228,2014-04-01 01:45:00
22,20.2998195422,20.9838672315,18.6438219498,2014-04-01 01:50:00
23,20.7224957136,19.9780622021,19.6373718553,2014-04-01 01:55:00
24,19.3585812923,18.5118326564,20.6463069623,2014-04-01 02:00:00
25,19.4478162866,20.2796377868,20.5348389737,2014-04-01 02:05:00
26,19.2570803929,19.9685359696,19.5305646203,2014-04-01 02:10:00
27,20.8484357314,20.0716869346,20.4531455753,2014-04-01 02:15:00
28,18.6465613427,21.5156098146,21.2549931823,2014-04-01 02:20:00
29,18.0521011213,21.5793481868,18.1051390894,2014-04-01 02:25:00
30,20.3847857869,19.8141484271,19.8024841917,2014-04-01 02:30:00
31,21.7695254589,19.8229281651,21.0342209139,2014-04-01 02:35:00
32,20.437631668,20.0607478355,20.1845778819,2014-04-01 02:40:00
33,21.1316866118,20.0783571133,20.6059043517,2014-04-01 02:45:00
34,20.6911628379,21.8015485767,20.0667055704,2014-04-01 02:50:00
35,19.9897466141,20.5976018695,21.9674981787,2014-04-01 02:55:00
36,20.8735696071,19.1098279796,18.218486146,2014-04-01 03:00:00
37,21.2964164954,20.1261471878,19.9641792871,2014-04-01 03:05:00
38,18.8989265767,20.5088943316,18.3656661965,2014-04-01 03:10:00
39,19.3445219219,20.5590868841,18.6391422485,2014-04-01 03:15:00
40,18.89490293,20.341016905,19.5321534017,2014-04-01 03:20:00
41,19.8086918224,18.7109446185,18.622160366,2014-04-01 03:25:00
42,21.5402582037,18.1343727563,21.8547486638,2014-04-01 03:30:00
43,19.3808284033,19.3513722095,21.7871591069,2014-04-01 03:35:00
44,19.4978675565,19.7100886182,19.3444385849,2014-04-01 03:40:00
45,21.4414689387,18.2472169583,20.5589908482,2014-04-01 03:45:00
46,20.061497323,21.2598693521,20.1350132824,2014-04-01 03:50:00
47,20.1417959986,19.37630975,21.2623479221,2014-04-01 03:55:00
48,21.4432048133,21.6545309847,20.5097824393,2014-04-01 04:00:00
49,19.9621069481,18.6176404314,18.001009818,2014-04-01 04:05:00
50,20.7262301385,18.2277398277,21.0526975424,2014-04-01 04:10:00
51,18.3425786635,19.9292644175,20.9873924852,2014-04-01 04:15:00
52,18.7145268525,18.7565173473,20.0388908223,2014-04-01 04:20:00
53,19.6175048029,21.7495971023,21.6116758929,2014-04-01 04:25:00
54,19.9793562713,18.0412135938,21.633784822800003,2014-04-01 04:30:00
55,21.8629348049,19.6504787002,20.0956467068,2014-04-01 04:35:00
56,21.8826065322,21.7069910854,20.4319529248,2014-04-01 04:40:00
57,21.4047883499,19.5376728269,21.9860882877,2014-04-01 04:45:00
58,19.2623953411,18.3724371224,19.1952809392,2014-04-01 04:50:00
59,21.8561131633,19.2115797714,19.2984689692,2014-04-01 04:55:00
60,20.7573634587,19.9920415753,18.7310956107,2014-04-01 05:00:00
61,19.571760511300003,18.7406067494,21.5834677566,2014-04-01 05:05:00
62,20.8066996679,19.8662468206,20.9779535598,2014-04-01 05:10:00
63,18.0660909191,21.3453727831,18.4225713955,2014-04-01 05:15:00
64,18.5846187291,21.4904718808,21.9270694048,2014-04-01 05:20:00
65,21.3187428462,18.197042938800003,20.9238468326,2014-04-01 05:25:00
66,20.5822945475,18.6436134322,21.4020884384,2014-04-01 05:30:00
67,19.4567788052,19.1011605431,18.1926031567,2014-04-01 05:35:00
68,20.0026665609,20.3794634036,20.0198436758,2014-04-01 05:40:00
69,21.6205685986,19.4439790352,20.7943931469,2014-04-01 05:45:00
70,20.5263124379,21.376163653800003,20.1717863383,2014-04-01 05:50:00
71,19.5925971357,20.8666874731,20.6665898628,2014-04-01 05:55:00
72,18.4813066296,18.4018240925,21.2714962544,2014-04-01 06:00:00
73,19.174987206500003,20.49823001,19.4973482518,2014-04-01 06:05:00
74,21.9133609312,18.4520505014,21.3946747025,2014-04-01 06:10:00
75,19.7494522514,19.0201426785,18.6516644191,2014-04-01 06:15:00
76,19.8873578554,18.7114825341,19.0835442201,2014-04-01 06:20:00
77,19.9943921296,18.6922477968,18.1733824797,2014-04-01 06:25:00
78,21.5364160918,20.4655820991,19.4577072453,2014-04-01 06:30:00
79,20.4157131375,20.2544196902,19.5196381793,2014-04-01 06:35:00
80,20.7747081458,18.7041126112,21.221082388800003,2014-04-01 06:40:00
81,19.5576541702,21.9606912217,20.6125226812,2014-04-01 06:45:00
82,18.1163504744,19.6873469295,19.7468902326,2014-04-01 06:50:00
83,21.723891657,18.3882773126,20.6084559145,2014-04-01 06:55:00
84,21.7965107237,18.4822760678,18.2111334021,2014-04-01 07:00:00
85,21.796612213400003,20.3355748549,18.7210861441,2014-04-01 07:05:00
86,21.7747483466,21.9162776135,20.507791421,2014-04-01 07:10:00
87,21.2609677643,20.2878044065,20.5654672769,2014-04-01 07:15:00
88,20.7383842005,21.7961659065,21.0965386348,2014-04-01 07:20:00
89,21.3780396731,19.776531403,19.6119990362,2014-04-01 07:25:00
90,20.402184956,19.7433644146,20.8902163865,2014-04-01 07:30:00
91,18.5374784556,20.0000294373,20.7359213302,2014-04-01 07:35:00
92,19.5648726602,20.7897018326,21.8535735135,2014-04-01 07:40:00
93,21.8851796479,19.4704638658,18.8605209057,2014-04-01 07:45:00
94,19.4045512544,21.4555441307,20.206718255,2014-04-01 07:50:00
95,21.4713116549,18.1171255391,20.4070577684,2014-04-01 07:55:00
96,18.3728458831,19.7590567801,21.9945915397,2014-04-01 08:00:00
97,19.3367353695,20.0439673999,18.8047365687,2014-04-01 08:05:00
98,19.4038132989,20.4281289531,20.0928720799,2014-04-01 08:10:00
99,18.2064101724,19.1042876495,19.3847412309,2014-04-01 08:15:00
100,18.4763773207,19.7099198839,20.1035718743,2014-04-01 08:20:00
